INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
22-07-2013,21-07-2014,80,1202,1089258,34511.63,5000031521,2009,171,Truck,0,MERCEDES,Own Goods,
22-07-2012,21-07-2013,80,1202,1089258,34079.33,5000031521,2009,171,Truck,0,MERCEDES,Own Goods,268891.71
29-03-2012,28-03-2013,12,1202,514828.52,12771.27,5000031521,2009,171,Truck,0,MERCEDES,Own Goods,
22-07-2011,21-07-2012,80,1202,1089258,33697.947,5000031521,2009,171,Truck,0,MERCEDES,Own Goods,
22-07-2013,21-07-2014,80,1202,626900,10609.14,5000031523,2009,96,Truck,0,IVECO,Own Goods,
22-07-2012,21-07-2013,80,1202,626201.05,20426.56,5000031523,2009,96,Truck,0,IVECO,Own Goods,29584.74
22-07-2011,21-07-2012,80,1202,626201,19825.16,5000031523,2009,96,Truck,0,IVECO,Own Goods,
17-07-2013,16-07-2014,11,1202,276376.5,7328.78,5000031905,1992,147,Truck,11630,FIAT,General Cartage,80646.5
08-07-2012,07-07-2013,11,1202,272316.56,4936.01,5000031905,1992,147,Truck,11630,FIAT,General Cartage,
08-07-2011,07-07-2012,11,1202,272316.56,6115.945,5000031905,1992,147,Truck,11630,FIAT,General Cartage,
17-07-2013,16-07-2014,11,1202,272376.5,8404.77,5000031907,1982,147,Truck,11630,DAF,General Cartage,
08-07-2012,07-07-2013,11,1202,272316.56,4936.01,5000031907,1982,147,Truck,11630,DAF,General Cartage,
08-07-2011,07-07-2012,11,1202,272316.56,6843.408,5000031907,1982,147,Truck,11630,DAF,General Cartage,
17-07-2013,16-07-2014,11,1202,50000,1629.02,5000031908,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2012,07-07-2013,11,1202,50000,1222.69,5000031908,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2011,07-07-2012,11,1202,50000,1447.551,5000031908,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2012,07-07-2013,11,1202,50000,1227.69,5000031917,1992,248,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2011,07-07-2012,11,1202,50000,1437.551,5000031917,1992,248,Trailers and semitrailers,5600,FARID,General Cartage,
17-07-2013,16-07-2014,11,1202,50000,1517.52,5000031918,1981,170,Trailers and semitrailers,0,VIBERTI,General Cartage,
08-07-2012,07-07-2013,11,1202,50000,1222.69,5000031919,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2011,07-07-2012,11,1202,50000,1437.551,5000031919,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
17-07-2013,16-07-2014,11,1202,50000,1629.02,5000031925,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2012,07-07-2013,11,1202,50000,1222.69,5000031925,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2011,07-07-2012,11,1202,50000,1437.551,5000031925,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
17-07-2013,16-07-2014,11,1202,50000,1634.02,5000031926,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2012,07-07-2013,11,1202,50000,1222.69,5000031926,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2011,07-07-2012,11,1202,50000,1437.551,5000031926,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
17-07-2013,16-07-2014,11,1202,50000,1629.02,5000031927,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2012,07-07-2013,11,1202,50000,1222.69,5000031927,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2011,07-07-2012,11,1202,50000,1437.551,5000031927,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2012,07-07-2013,11,1202,50000,1222.69,5000031929,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2011,07-07-2012,11,1202,50000,1437.551,5000031929,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
17-07-2013,16-07-2014,11,1202,324000,5985.46,5000031930,1992,141,Trailers and semitrailers,0,FARID,General Cartage,
08-07-2012,07-07-2013,11,1202,324000,5183.03,5000031930,1992,141,Trailers and semitrailers,0,FARID,General Cartage,
08-07-2011,07-07-2012,11,1202,324000,5397.351,5000031930,1992,141,Trailers and semitrailers,0,FARID,General Cartage,
17-07-2013,16-07-2014,11,1202,50000,1519.02,5000031931,1988,133,Trailers and semitrailers,5600,FARID,Own Goods,
08-07-2012,07-07-2013,11,1202,50000,1222.69,5000031931,1988,133,Trailers and semitrailers,5600,FARID,Own Goods,
08-07-2011,07-07-2012,11,1202,50000,1392.11,5000031931,1988,133,Trailers and semitrailers,5600,FARID,Own Goods,
17-07-2013,16-07-2014,11,1202,50000,1629.02,5000031932,1986,248,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2012,07-07-2013,11,1202,50000,1222.69,5000031932,1986,248,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2011,07-07-2012,11,1202,50000,1437.551,5000031932,1986,248,Trailers and semitrailers,5600,FARID,General Cartage,
17-07-2013,16-07-2014,11,1202,50000,1520.62,5000031933,1988,174,Trailers and semitrailers,0,VIBERTI,General Cartage,
08-07-2012,07-07-2013,11,1202,0,565.69,5000031933,1988,174,Trailers and semitrailers,0,VIBERTI,General Cartage,
01-07-2011,30-06-2012,11,1201,0,880.116,5000031933,1988,174,Trailers and semitrailers,0,VIBERTI,General Cartage,
08-07-2011,07-07-2012,11,1202,0,1437.551,5000031933,1988,174,Trailers and semitrailers,0,VIBERTI,General Cartage,
08-07-2012,07-07-2013,11,1202,50000,1222.69,5000031935,1992,369,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2011,07-07-2012,11,1202,50000,1437.551,5000031935,1992,369,Trailers and semitrailers,5600,FARID,General Cartage,
17-07-2013,16-07-2014,11,1202,50000,1629.02,5000031936,1992,141,Trailers and semitrailers,0,FARID,General Cartage,
08-07-2012,07-07-2013,11,1202,50000,1222.69,5000031936,1992,141,Trailers and semitrailers,0,FARID,General Cartage,
08-07-2011,07-07-2012,11,1202,50000,1437.551,5000031936,1992,141,Trailers and semitrailers,0,FARID,General Cartage,
17-07-2013,16-07-2014,11,1202,276376.5,7328.78,5000031939,1992,147,Truck,11630,FIAT,General Cartage,
08-07-2012,07-07-2013,11,1202,272316.56,4936.01,5000031939,1992,147,Truck,11630,FIAT,General Cartage,
08-07-2011,07-07-2012,11,1202,272316.56,6115.945,5000031939,1992,147,Truck,11630,FIAT,General Cartage,
08-07-2012,07-07-2013,11,1202,50000,1222.69,5000031941,1992,300,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2011,07-07-2012,11,1202,50000,1437.551,5000031941,1992,300,Trailers and semitrailers,5600,FARID,General Cartage,
17-07-2013,16-07-2014,11,1202,50000,1517.52,5000031947,1992,141,Trailers and semitrailers,0,FARID,General Cartage,
08-07-2012,07-07-2013,11,1202,50000,1222.69,5000031947,1992,141,Trailers and semitrailers,0,FARID,General Cartage,
08-07-2011,07-07-2012,11,1202,50000,1437.551,5000031947,1992,141,Trailers and semitrailers,0,FARID,General Cartage,
17-07-2013,16-07-2014,11,1202,276376.5,7328.78,5000031955,1992,147,Truck,11630,FIAT,General Cartage,
08-07-2012,07-07-2013,11,1202,272316.56,4936.01,5000031955,1992,147,Truck,11630,FIAT,General Cartage,
08-07-2011,07-07-2012,11,1202,272316.56,6115.945,5000031955,1992,147,Truck,11630,FIAT,General Cartage,
08-07-2012,07-07-2013,11,1202,50000,1222.69,5000031958,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2011,07-07-2012,11,1202,50000,1437.551,5000031958,1992,141,Trailers and semitrailers,5600,FARID,General Cartage,
08-07-2013,07-07-2014,9,1202,354598.13,11098.99,5000032694,2007,0,Bus,4214,MITSUBISHI,Fare Paying Passengers,
08-07-2012,07-07-2013,9,1202,650000,18706.11,5000032694,2007,0,Bus,4214,MITSUBISHI,Fare Paying Passengers,
08-07-2011,07-07-2012,9,1202,650000,22425.65,5000032694,2007,0,Bus,4214,MITSUBISHI,Fare Paying Passengers,
01-07-2013,30-06-2014,6,1202,1661328.77,10393.2,5000032705,2010,133,Truck,11596,HOWO,Own Goods,
01-07-2012,30-06-2013,6,1202,1661328.77,10961.48,5000032705,2010,133,Truck,11596,HOWO,Own Goods,
01-07-2011,30-06-2012,6,1202,1661328.77,12600.917,5000032705,2010,133,Truck,11596,HOWO,Own Goods,
01-07-2012,30-06-2013,6,1202,1661328.77,13234.58,5000032709,2010,133,Truck,11596,HOWO,Own Goods,
01-07-2011,30-06-2012,6,1202,1661328.77,12600.917,5000032709,2010,133,Truck,11596,HOWO,Own Goods,966631.54
05-10-2012,04-10-2013,12,1201,0,609.05,5000029696,1973,,Automobile,1971,PEUGEOT,Private,
15-07-2013,14-07-2014,96,1201,120000,1721.75,5000029738,1984,,Automobile,1295,TOYOTA,Private,
15-07-2012,14-07-2013,96,1201,120000,2027.27,5000029738,1984,,Automobile,1295,TOYOTA,Private,
15-07-2011,14-07-2012,96,1201,50000,937.962,5000029738,1984,,Automobile,1295,TOYOTA,Private,
11-02-2014,10-02-2015,7,1201,0,548.05,5000030633,1975,,Automobile,1300,TOYOTA,Private,
23-12-2012,22-12-2013,7,1201,0,541.95,5000030633,1975,,Automobile,1300,TOYOTA,Private,
25-11-2011,24-11-2012,7,1201,0,541.7,5000030633,1975,,Automobile,1300,TOYOTA,Private,
12-03-2013,11-03-2014,6,1201,200000,3183.93,5000030637,1989,,Automobile,1295,TOYOTA,Private,
31-10-2011,30-10-2012,6,1201,100000,1909.42,5000030637,1989,,Automobile,1295,TOYOTA,Private,
28-08-2013,27-08-2014,13,1202,121000,1645.46,5000032221,1996,7,Pick-up,1996,MITSUBISHI,Own Goods,
28-08-2012,27-08-2013,12,1202,121000,1640.46,5000032221,1996,7,Pick-up,1996,MITSUBISHI,Own Goods,
23-07-2011,22-07-2012,97,1202,121000,1392.479,5000032221,1996,7,Pick-up,1996,MITSUBISHI,Own Goods,
28-08-2013,27-08-2014,13,1202,121000,1635.46,5000032224,1996,7,Pick-up,1996,MITSUBISHI,Own Goods,
28-08-2012,27-08-2013,12,1202,121000,1770.99,5000032224,1996,7,Pick-up,1996,MITSUBISHI,Own Goods,
23-07-2011,22-07-2012,97,1202,121000,1655.379,5000032224,1996,7,Pick-up,1996,MITSUBISHI,Own Goods,
